ID	Location	Latitude	Longitude	Species	Captive	colour	relatedness	newgroup	oldgroup
W65	Finland	64.21297	30.16033	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
W47	Finland	64.21888	30.2657	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
W58	Finland	64.23515	30.47497	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
MW1024	Finland	64.25504	30.36527	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
W68	Finland	64.25681	24.4926	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
W74	Finland	64.36372	28.53426	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
W69	Finland	64.388	25.56817	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
W54	Finland	64.49573	29.02563	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
MW748A	Finland	64.67183	29.07741	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
W15	Finland	64.69704	26.398	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
W26	Finland	64.873	28.28797	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
MW1050_merge	Finland	64.92817738	29.53240028	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
W22	Finland	65.04528	27.36766	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
MW984_merge	Finland	65.69897641	27.64602004	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
MW1036	Finland	65.97496	25.75565	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
MW737A	Finland	66.05745121	29.80523093	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
W8	Finland	67.65864	29.62979	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
W98	Finland	68.04907	28.48055	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
W36	Finland	68.43074	28.3123	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
W93	Finland	68.47324	25.81392	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
MW983	Finland	68.7514441	28.4500799	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
V119	Russia	62.92906	34.482034	Canis lupus	wild	#6DA34D	unrelated	EFIN	EFIN
MW071	Germany	48.661604	9.350134	Canis lupus	wild	#FFA8A9	unrelated	ITA	ITA
MW097	Germany	52.636704	9.845077	Canis lupus	wild	#FFA8A9	unrelated	ITA	ITA
MW310	Italy	41.8088	13.79008	Canis lupus	wild	#FFA8A9	unrelated	ITA	ITA
MW304	Italy	41.87194	12.56737	Canis lupus	wild	#FFA8A9	unrelated	ITA	ITA
MW307	Italy	41.92465	13.09366	Canis lupus	wild	#FFA8A9	unrelated	ITA	ITA
MW301	Italy	41.92571	13.23055	Canis lupus	wild	#FFA8A9	unrelated	ITA	ITA
MW306	Italy	41.98048	13.03602	Canis lupus	wild	#FFA8A9	unrelated	ITA	ITA
MW298	Italy	41.98833	13.06826	Canis lupus	wild	#FFA8A9	unrelated	ITA	ITA
MW303	Italy	41.98833	13.06826	Canis lupus	wild	#FFA8A9	unrelated	ITA	ITA
MW305	Italy	41.98833	13.06826	Canis lupus	wild	#FFA8A9	unrelated	ITA	ITA
MW302	Italy	42.01882	13.10791	Canis lupus	wild	#FFA8A9	unrelated	ITA	ITA
MW309	Italy	42.1	12.86666	Canis lupus	wild	#FFA8A9	unrelated	ITA	ITA
MW308	Italy	42.14003	12.10473	Canis lupus	wild	#FFA8A9	unrelated	ITA	ITA
W1456	Italy	42.5	13.4167	Canis lupus	wild	#FFA8A9	unrelated	ITA	ITA
W1023	Italy	44.3667	9.75	Canis lupus	wild	#FFA8A9	unrelated	ITA	ITA
W893	Italy	44.3667	9.75	Canis lupus	wild	#FFA8A9	unrelated	ITA	ITA
MW1105	Belarus	55.33	30.67	Canis lupus	wild	#643B80	unrelated	KAR	KAR
MW732A	Estonia	58.9574	24.22799	Canis lupus	wild	#643B80	unrelated	KAR	KAR
MW351	Finland	61.6036759	29.7321313	Canis lupus	wild	#643B80	unrelated	KAR	KAR
MW456	Finland	61.92411	25.74815	Canis lupus	wild	#643B80	unrelated	KAR	KAR
MW1004	Finland	62.2118357	30.3615205	Canis lupus	wild	#643B80	unrelated	KAR	KAR
MW999	Finland	62.2118357	30.3615205	Canis lupus	wild	#643B80	unrelated	KAR	KAR
MW989	Finland	62.2999571	27.1612423	Canis lupus	wild	#643B80	unrelated	KAR	KAR
MW457	Finland	62.66788	30.93949	Canis lupus	wild	#643B80	unrelated	KAR	KAR
MW1002	Finland	62.6734482	30.9116358	Canis lupus	wild	#643B80	unrelated	KAR	KAR
MW1003	Finland	62.6734482	30.9116358	Canis lupus	wild	#643B80	unrelated	KAR	KAR
MW1014	Finland	62.6734482	30.9116358	Canis lupus	wild	#643B80	unrelated	KAR	KAR
MW992	Finland	62.6734482	30.9116358	Canis lupus	wild	#643B80	unrelated	KAR	KAR
MW993	Finland	62.6734482	30.9116358	Canis lupus	wild	#643B80	unrelated	KAR	KAR
MW988	Finland	63.1265554	30.0604154	Canis lupus	wild	#643B80	unrelated	KAR	KAR
