ID	Location	Latitude	Longitude	Species	Captive	newgroup	colour	unrelated	refpanel	dups	hybrids	related	grouping	newgroup2
G50-12	Sweden	60.9575446	16.0472353	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	G50-12	related	SCAN
G67-15	Sweden	57.8096361	13.269262	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	G67-15	related	WFIN
G82-10	Sweden	62.2513002	14.301979	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	G82-10	related	EFIN
G9-05	Sweden	61.429825	15.0146041	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	G9-05	related	SCAN
G97-13	Sweden	60.1282	18.6435	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	G97-13	related	SCAN
M-00-10	Sweden	60.1282	18.6435	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	M-00-10	related	SCAN
M-01-04	Sweden	60.1282	18.6435	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	M-01-04	related	SCAN
M-06-03	Sweden	60.1282	18.6435	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	M-06-03	related	SCAN
M-06-04	Sweden	60.1282	18.6435	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	M-06-04	related	SCAN
M-09-17	Sweden	60.2586752	13.6796909	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	M-09-17	related	SCAN
M-10-04	Sweden	61.507213	15.8839979	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	M-10-04	related	WFIN
M-11-02	Sweden	61.6601493	15.7776835	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	M-11-02	related	WFIN
M-98-02	Sweden	60.1282	18.6435	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	M-98-02	related	SCAN
M-98-03	Sweden	60.1282	18.6435	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	M-98-03	related	SCAN
M-98-08	Sweden	60.1282	18.6435	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	M-98-08	related	SCAN
MW005_merged_Canfam31	Norway	60.600249	10.56905	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW005_merged_Canfam31	related	WFIN
MW006_merged_Canfam31	Norway	61.044723	11.28778	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW006_merged_Canfam31	related	SCAN
MW007_merged_Canfam31	Norway	61.332537	11.262976	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW007_merged_Canfam31	related	SCAN
MW016	Lithuania	55.891037	22.658114	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW016	related	SBAL
MW019	Lithuania	55.058071	25.070977	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW019	related	NBAL
MW021	Lithuania	56.213542	24.925611	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW021	related	SBAL
MW023	Lithuania	56.153484	25.194591	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW023	related	WFIN
MW024	Lithuania	56.226309	22.142644	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW024	related	SBAL
MW025	Lithuania	56.226309	22.142644	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW025	related	SBAL
MW030	Lithuania	56.090678	22.548895	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW030	related	SBAL
MW032	Lithuania	55.530764	23.158704	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW032	related	SBAL
MW034	Lithuania	56.283393	22.667897	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW034	related	SBAL
MW035	Lithuania	56.318486	24.923767	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW035	related	SBAL
MW037	Lithuania	55.798652	22.16517	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW037	related	SBAL
MW038	Lithuania	55.798652	22.16517	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW038	related	SBAL
MW044	Lithuania	55.029921	25.206769	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW044	related	NBAL
MW057	Germany	48.661604	9.350134	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW057	related	ITA
MW061	Romania	46.135413	25.708109	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW061	related	DINBAL
MW086	Germany	48.790447	11.49789	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW086	related	ITA
MW1000	Finland	62.6734482	30.9116358	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1000	related	KAR
MW1001	Finland	62.6734482	30.9116358	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1001	related	KAR
MW1012	Finland	62.5289025	30.4875865	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1012	related	EFIN
MW1013	Finland	62.6734482	30.9116358	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1013	related	EFIN
MW1018	Finland	64.23104	27.82074	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1018	related	KAR
MW1022	Finland	65.75718	26.91114	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1022	related	EFIN
MW1023	Finland	65.11219	27.56664	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1023	related	WFIN
MW1026	Finland	64.69315	29.83221	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1026	related	EFIN
MW1027	Finland	64.68679	28.27584	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1027	related	EFIN
MW1028	Finland	65.70976	29.90863	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1028	related	EFIN
MW1032	Finland	68.1648	28.33854	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1032	related	KAR
MW1033	Finland	68.25869	28.56026	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1033	related	KAR
MW1039	Finland	65.14826	29.71752	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1039	related	EFIN
MW1040	Finland	65.04571	27.36401	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1040	related	EFIN
MW1041	Finland	65.42658	29.67745	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1041	related	EFIN
MW1043	Finland	67.6108	27.74849	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1043	related	KAR
MW1044	Finland	64.64852	29.23017	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1044	related	EFIN
MW1046	Finland	65.6554	29.81049	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1046	related	EFIN
MW1048	Finland	68.1021071	29.0689734	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1048	related	KAR
MW1049	Finland	68.0794097	28.7032482	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1049	related	KAR
MW1051	Finland	68.4091766	28.3223679	Canis lupus	wild	NA	NA	NA	#N/A	#N/A	#N/A	MW1051	related	KAR
